Period, Total Output, Efficiency
2023-05-01, 241.41226337658486, 0.4828245267531697
2023-05-02, 240.36985306422275, 0.4807397061284455
2023-05-03, 200.86029185299725, 0.4017205837059945
2023-05-04, 224.17755426136375, 0.44835510852272753
2023-05-05, 251.9940704988552, 0.5039881409977104
2023-05-06, 177.8043342494144, 0.35560866849882883
2023-05-07, 198.23267231619027, 0.39646534463238053
2023-05-08, 195.8380427879711, 0.3916760855759422
2023-05-09, 180.81808338640639, 0.3616361667728128
2023-05-10, 159.86003389497924, 0.3996500847374481
2023-05-11, 223.5142852795015, 0.5587857131987538
2023-05-12, 79.70443927006173, 0.1992610981751543
2023-05-13, 136.61794655586218, 0.3415448663896554
2023-05-14, 118.68527858749434, 0.29671319646873584
2023-05-15, 123.9814806922082, 0.3099537017305205
2023-05-16, 212.49697691060805, 0.5312424422765202
2023-05-17, 93.76599583586409, 0.23441498958966023
2023-05-18, 47.12637706798149, 0.11781594266995371
2023-05-19, 163.00243129495965, 0.40750607823739915
2023-05-20, 166.22097553528883, 0.41555243883822207
2023-05-21, 133.68217935041554, 0.3342054483760388
2023-05-22, 60.792826940239685, 0.15198206735059921
2023-05-23, 196.35224729686294, 0.49088061824215734
2023-05-24, 108.16014373153611, 0.27040035932884027
2023-05-25, 115.41074561268218, 0.28852686403170547
2023-05-26, 123.18756344327912, 0.3079689086081978
2023-05-27, 157.65442725032375, 0.39413606812580937
2023-05-28, 70.11363173544504, 0.1752840793386126
2023-05-29, 72.00559886963825, 0.1800139971740956
2023-05-30, 157.84319218727842, 0.39460798046819606
2023-05-31, 211.6903977191222, 0.5292259942978055
2023-06-01, 119.8886882340075, 0.2997217205850188
2023-06-02, 209.96580113732938, 0.5249145028433234
2023-06-03, 165.5853832689205, 0.4139634581723013
2023-06-04, 152.87305251825103, 0.3821826312956276
2023-06-05, 149.2624056706327, 0.37315601417658173
2023-06-06, 65.06703809999465, 0.1626675952499866
2023-06-07, 265.7890197329315, 0.5315780394658629
2023-06-08, 73.61710402619809, 0.14723420805239618
2023-06-09, 185.90954045395267, 0.37181908090790533
2023-06-10, 241.15688375429377, 0.48231376750858757
2023-06-11, 278.27221685841494, 0.5565444337168298
2023-06-12, 285.86796215476494, 0.5717359243095299
2023-06-13, 97.78683302177623, 0.19557366604355247
2023-06-14, 109.80570004277772, 0.21961140008555544
2023-06-15, 283.85691599985336, 0.5677138319997067
2023-06-16, 336.79783655495805, 0.6735956731099161
2023-06-17, 126.29042332719739, 0.2525808466543948
2023-06-18, 250.29362463101887, 0.5005872492620378
2023-06-19, 285.4743220102008, 0.5709486440204016
2023-06-20, 98.4972082619006, 0.1969944165238012
2023-06-21, 136.6406183480352, 0.2732812366960704
2023-06-22, 290.2968995478807, 0.5805937990957614
2023-06-23, 287.50848713624623, 0.5750169742724924
2023-06-24, 139.92759138784209, 0.27985518277568416
2023-06-25, 143.23462507376567, 0.28646925014753133
2023-06-26, 186.39572240060812, 0.37279144480121623
2023-06-27, 331.5826372507762, 0.6631652745015524
2023-06-28, 131.47130559539818, 0.26294261119079637
2023-06-29, 242.4224513396561, 0.48484490267931224
2023-06-30, 192.27467521061027, 0.3845493504212205
2023-07-01, 285.7332635945173, 0.5714665271890347
2023-07-02, 204.67261772827456, 0.4093452354565491
2023-07-03, 256.5991513569976, 0.5131983027139951
2023-07-04, 264.1153105768986, 0.5282306211537972
2023-07-05, 158.39541362068525, 0.3167908272413705
2023-07-06, 242.20691445150166, 0.48441382890300333
2023-07-07, 139.35696290676532, 0.27871392581353066
2023-07-08, 229.9753269257518, 0.4599506538515036
2023-07-09, 124.63812696717113, 0.24927625393434227
2023-07-10, 61.0052118278593, 0.1220104236557186
2023-07-11, 276.20671140772436, 0.5524134228154487
2023-07-12, 56.58937505908483, 0.11317875011816966
2023-07-13, 305.6045731750015, 0.611209146350003
2023-07-14, 176.8517773019682, 0.35370355460393643
2023-07-15, 237.64333544025405, 0.4752866708805081
2023-07-16, 191.16724980953558, 0.3823344996190712
2023-07-17, 33.127159506941865, 0.06625431901388373
2023-07-18, 101.66345015865369, 0.203326900317307382023-07-19, 0.0, 0.0
2023-07-19, 115.18538209212676, 0.10471398372011524
2023-07-20, 96.07891737590428, 0.12009864671988035
2023-07-21, 75.26834773914072, 0.10752621105591532
2023-07-22, 117.1050947686436, 0.19517515794773932
2023-07-23, 48.08608254318774, 0.12021520635796935
2023-07-24, 15.0, 0.075
2023-07-25, 15.0, 0.075
2023-07-26, 15.0, 0.075
2023-07-27, 15.0, 0.075
2023-07-28, 15.0, 0.075
